id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval
930,Stari,Prodiscus,Midrange,18,4,4,-2,0,Understable,https://www.marshallstreetdiscgolf.com/?s=stari&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0841029.webp,stari,prodiscus,midrange,understable,#32E65C,#5435A9,,,,,,,,,,,,,,
931,Starship,Sacred Discs,Distance Driver,15,13,6,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Starship&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000361.webp,starship,sacred-discs,distance-driver,stable,#0E1774,#B4CDFF,174.3,21,1.7,1.1,16.4,2.3,5.2,27.25,7.73,,,,23-185,"Jul 17, 2023"
932,Steady,DGA,Putter,19,2,3,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=stone+steady&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0322776.webp,steady,dga,putter,overstable,#2876FF,#272727,,,,,,,,,,,,,,
933,Steady BL,DGA,Putter,19,2,3,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=stone+steady&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0322776.webp,steady-bl,dga,putter,overstable,#2876FF,#272727,,,,,,,,,,,,,,
934,Stego,Other,Approach Discs,20,4,0,1,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=Stego&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0322775.webp,stego,other,approach-discs,very-overstable,#000000,#E5FFAA,,,,,,,,,,,,,,
935,Stegosaurus,Dino Discs,Approach Discs,20,4,5,-4,2,Very Understable,https://www.marshallstreetdiscgolf.com/?s=stegosaurus&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000525.webp,stegosaurus,dino-discs,approach-discs,very-understable,#740A0A,#FF6FCF,,,,,,,,,,,,,,
936,Stig,Kastaplast,Midrange,18,6,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=Stig&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000328.webp,stig,kastaplast,midrange,understable,#000000,#21F1B9,175.1,21.1,1.9,1.2,18,1.6,5.7,39,7.5,,,,23-62,"Feb 27, 2023"
937,Stiletto,Latitude 64,Distance Driver,15,13,3,0.5,5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=stiletto&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0322777.webp,stiletto,latitude-64,distance-driver,very-overstable,#FFFFFF,#F40909,176.8,21.3,1.7,1.1,16.4,2.4,5.2,26.75,9.98,,,,13-33,"May 30, 2013"
938,Sting,Discraft,Fairway Driver,17,7,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=Sting&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4391599.webp,sting,discraft,control-driver,understable,#FF3737,#000000,,,,,,,,,,,,,,
939,Stingray,Innova,Midrange,18,4,5,-3,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=stingray&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3900954.webp,stingray,innova,midrange,very-understable,#2A290E,#F3EB09,,,,,,,,,,,,,,
