"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Goliath Discs","Shepherd","175.1","21.1","1.5","1.2","16.7","2.2","5.7","30.50","10.34","","","","25-33","Mar 3, 2025"
"Flight Forge Discs","Ingot","180.9","21.8","1.5","1.1","18.6","1.6","5.0","36.75","3.98","","","","25-32","Mar 3, 2025"
"ProtoFlyte","Spindle","176.0","21.2","1.8","1.2","17.0","2.1","5.2","31.75","12.16","","","","25-28","Feb 24, 2025"
"Gateway Disc Sports","Ghoul","176.0","21.2","1.9","1.2","19.2","1.0","5.7","75.25","8.07","","","","25-29","Feb 24, 2025"
"Pie Pan Discs","Hype","176.0","21.2","1.5","1.1","17.0","2.1","5.2","28.50","8.07","","","","25-27","Feb 17, 2025"
"Kastaplast","Tuff","176.0","21.2","2.0","1.5","18.9","1.1","7.1","62.75","9.43","","","","25-25","Feb 10, 2025"
"Disc Monkey","DMP1","176.0","21.2","2.1","1.5","19.2","1.0","7.1","68.50","12.16","","","","25-26","Feb 10, 2025"
"Stokely Discs","Robin","175.1","21.1","1.6","1.1","17.8","1.7","5.2","33.50","8.07","","","","25-21","Feb 3, 2025"
"Axiom Discs","Simon Line Balance (Prototype_2)","177.6","21.4","1.7","1.3","18.4","1.5","6.1","41.50","10.14","","","","25-22","Feb 3, 2025"
"Axiom Discs","Simon Line Balance (Prototype_3)","177.6","21.4","1.7","1.3","18.3","1.5","6.1","43.75","11.25","","","","25-23","Feb 3, 2025"
"Streamline Discs","Boost (Prototype)","176.0","21.2","1.5","1.1","16.9","2.1","5.2","30.75","6.86","","","","25-24","Feb 3, 2025"
"Dynamic Discs","Supreme Raider","175.1","21.1","1.8","1.1","16.5","2.3","5.2","29.00","10.80","","","","25-19","Jan 27, 2025"
"Discraft","Cigarra (modified overstable Cicada)","176.8","21.3","1.6","1.1","17.9","1.7","5.2","34.75","11.14","","","","25-18","Jan 27, 2025"
"Infinite Discs","Sultan","176.0","21.2","1.5","1.2","16.4","2.4","5.7","27.00","10.34","","","","25-20","Jan 27, 2025"
"ColorYourGame","Modify","179.3","21.6","1.7","1.2","18.8","1.4","5.6","48.75","10.34","","","","25-14","Jan 23, 2025"
"ColorYourGame","Eraser","176.0","21.2","2.1","1.6","19.1","1.0","7.5","68.00","10.68","","","","25-13","Jan 23, 2025"
"ColorYourGame","Brushstroke","176.0","21.2","2.0","1.1","17.7","1.7","5.2","33.00","10.34","","","","25-12","Jan 23, 2025"
"Discmania","Glacier","180.1","21.7","1.8","1.3","18.9","1.4","6.0","37.25","11.25","","","","25-15","Jan 23, 2025"
"Doomsday Discs","Psyop","175.1","21.1","1.6","1.1","17.4","1.9","5.2","30.00","10.23","","","","25-16","Jan 23, 2025"
"Wingman Discs","Kalous","176.8","21.3","1.9","1.2","17.4","1.9","5.6","29.00","11.25","","","","25-7","Jan 20, 2025"
"Thought Space Athletics","Expanse","175.1","21.1","1.8","1.2","16.8","2.1","5.7","31.50","9.43","","","","25-11","Jan 20, 2025"
"Climo Disc Golf","Champ","174.3","21.0","2.0","1.5","18.8","1.1","7.1","62.75","11.59","","","","25-9","Jan 20, 2025"
"Climo Disc Golf","Belleair","180.1","21.7","1.9","1.2","18.9","1.4","5.5","42.75","8.64","","","","25-8","Jan 20, 2025"
"Climo Disc Golf","Skyway","175.1","21.1","1.7","1.2","16.8","2.1","5.7","29.50","11.82","","","","25-10","Jan 20, 2025"
"Kraken Discs","Wyvern","177.8","21.4","1.5","1.1","16.9","2.2","5.1","26.50","11.14","","","","25-6","Jan 13, 2025"
"Trash Panda Disc Golf","Canyon (Prototype)","175.1","21.1","1.6","1.3","18.7","1.2","6.2","54.00","5.91","","","","25-5","Jan 13, 2025"
"Mint Discs","Mystery Box (2024)","176.8","21.3","1.7","1.1","17.8","1.7","5.2","35.50","6.82","","","","25-4","Jan 6, 2025"
"Native Discs","EcoReboot Thunder (Heloha)","179.3","21.6","1.7","1.2","19.0","1.3","5.6","41.50","8.64","","","","25-2","Jan 6, 2025"
"Native Discs","EcoReboot Tornado (Mahli Chito)","176.0","21.2","1.5","1.2","17.2","2.0","5.7","28.50","11.02","","","","25-3","Jan 6, 2025"
"Native Discs","EcoChar Trickster (Chukfi)","175.1","21.1","2.1","1.4","19.1","1.0","6.6","72.50","8.07","","","","25-1","Jan 6, 2025"
"Kastaplast","Malm","176.0","21.2","1.9","1.1","17.3","2.0","5.2","30.75","9.55","","","","24-231","Dec 30, 2024"
"Lone Star Disc","Enterprise","175.1","21.1","1.7","1.1","16.5","2.3","5.2","30.00","10.80","","","","24-230","Dec 23, 2024"
"Lone Star Disc","Chuck","180.9","21.8","1.6","1.3","19.3","1.3","6.0","46.00","6.59","","","","24-229","Dec 23, 2024"
"Discape Disc Golf Inc.","Skyterron","178.5","21.5","1.7","1.4","18.8","1.3","6.5","51.25","11.59","","","","24-226","Dec 16, 2024"
"Stokely Discs","Magpie","174.3","21.0","1.5","1.1","16.4","2.3","5.2","28.75","11.14","","","","24-228","Dec 16, 2024"
"Doomsday Discs","Abomination","175.1","21.1","1.5","1.1","16.9","2.1","5.2","27.50","7.61","","","","24-227","Dec 16, 2024"
"Kraken Discs","Kobold","178.5","21.5","2.0","1.3","18.9","1.3","6.0","40.25","11.14","","","","24-225","Dec 9, 2024"
"Stokely Discs","Peregrine","174.3","21.0","1.5","1.1","16.5","2.2","5.2","29.00","9.55","","","","24-224","Dec 2, 2024"
"Supersonic Discs","Trailblazer","181.8","21.9","1.6","1.2","17.8","2.0","5.5","43.75","10.23","","","","24-222","Nov 25, 2024"
"Deuz Disc Golf","Milestone (Beaded)","176.0","21.2","1.7","1.4","18.3","1.4","6.6","37.50","7.05","","","","24-223","Nov 25, 2024"
"Latitude 64","Sweep","176.0","21.2","1.8","1.1","17.3","2.0","5.2","28.00","11.14","","","","24-221","Nov 18, 2024"
"Latitude 64","Peak","176.8","21.3","1.9","1.3","19.1","1.1","6.1","59.25","8.41","","","","24-220","Nov 18, 2024"
"Lone Star Disc","Prickly Pear","176.0","21.2","1.8","1.3","19.0","1.1","6.1","58.50","6.02","","","","24-216","Nov 11, 2024"
"Yikun Discs","Wù Kōng (悟空)","176.0","21.2","1.9","1.1","17.3","2.0","5.2","32.25","8.41","","","","24-219","Nov 11, 2024"
"Yikun Discs","Bái Zé (白泽)","176.0","21.2","1.9","1.1","17.7","1.8","5.2","33.75","9.77","","","","24-217","Nov 11, 2024"
"Yikun Discs","Flamewaker (哪吒, Né Zhā)","179.3","21.6","1.8","1.2","18.9","1.4","5.6","44.75","8.07","","","","24-218","Nov 11, 2024"
"Discape Disc Golf Inc.","Draconyx","175.1","21.1","1.5","1.2","17.2","2.0","5.7","29.25","11.93","","","","24-214","Oct 28, 2024"
"Axiom Discs","Simon Line Balance (Prototype)","178.5","21.5","1.6","1.3","18.4","1.5","6.0","40.25","11.25","","","","24-209","Oct 28, 2024"
"Newb SimHouse Custom Discs","NSH16 Warp","176.8","21.3","1.8","1.4","17.9","1.7","6.6","40.25","5.68","","","","24-215","Oct 28, 2024"
"Ballisdisc","Creedmoor OS","176.0","21.2","1.4","1.1","16.6","2.3","5.2","26.25","6.14","","","","24-210","Oct 21, 2024"
"Negative","Oath","176.0","21.2","2.2","1.5","19.1","1.0","7.1","62.25","12.05","","","","24-208","Oct 21, 2024"
"Gateway Disc Sports","Odyssey Control Driver","175.1","21.1","2.0","1.1","17.0","2.1","5.2","30.25","9.89","","","","24-213","Oct 21, 2024"
"Compound Discs","Hazard","176.0","21.2","1.9","1.4","18.5","1.4","6.6","51.50","6.70","","","","24-211","Oct 21, 2024"
"Hooligan Discs","Yeet (new)","175.1","21.1","1.9","1.2","16.7","2.2","5.7","26.75","11.82","","","","24-212","Oct 21, 2024"
"Stokely Discs","Lark","175.1","21.1","1.6","1.1","17.5","1.8","5.2","38.50","7.61","","","","24-206","Oct 14, 2024"
"Yeet Street Discs","Kyrios","176.0","21.2","2.0","1.4","19.1","1.0","6.6","54.25","7.61","","","","24-205","Oct 14, 2024"
"H13 Disc Golf","Astray","180.9","21.8","1.8","1.3","18.8","1.5","6.0","49.00","10.80","","","","24-203","Oct 14, 2024"
"Gateway Disc Sports","Aura (retooled)","176.0","21.2","1.5","1.1","16.6","2.3","5.2","29.00","11.93","","","","24-204","Oct 14, 2024"
"Forge Discs","Ash","176.8","21.3","1.7","1.2","19.3","1.0","5.6","64.75","5.57","","","","24-207","Oct 14, 2024"
"EV-7","Yang","176.0","21.2","2.0","1.4","19.0","1.1","6.6","56.00","9.66","","","","24-201","Oct 7, 2024"
"EV-7","Yin","176.0","21.2","2.0","1.4","19.0","1.1","6.6","73.25","9.77","","","","24-202","Oct 7, 2024"
"三佥攵 (Sān Qiān Pū）","Chairman (董事长)","177.6","21.4","2.2","1.4","19.2","1.1","6.5","68.50","8.86","","","","24-198","Oct 7, 2024"
"三佥攵 (Sān Qiān Pū）","Martialist (武道家)","176.0","21.2","1.9","1.4","19.2","1.0","6.6","71.00","8.75","","","","24-200","Oct 7, 2024"
"三佥攵 (Sān Qiān Pū）","Grand Master (大宗师)","177.6","21.4","1.7","1.2","19.3","1.0","5.6","95.00","10.34","","","","24-199","Oct 7, 2024"
"X-UFO (Ace Mould Co., Ltd)","Pounce","175.1","21.1","1.6","1.1","17.6","1.8","5.2","32.00","8.75","","","","24-195","Sep 30, 2024"
"X-UFO (Ace Mould Co., Ltd)","Eagle Wings","174.3","21.0","2.1","1.6","18.8","1.1","7.6","63.25","7.27","","","","24-194","Sep 30, 2024"
"Millennium Golf Discs","Zodiac (renamed from ES2)","176.0","21.2","1.5","1.1","17.0","2.1","5.2","29.75","8.86","","","","24-196","Sep 30, 2024"
"DiscPro ","Chain Smoker","176.8","21.3","2.2","1.6","19.2","1.0","7.5","66.50","7.50","","","","24-190","Sep 23, 2024"
"DiscPro ","Shadow Walker","176.8","21.3","1.7","1.1","17.8","1.7","5.2","32.00","8.30","","","","24-191","Sep 23, 2024"
"DiscPro ","Wind Surfer","178.5","21.5","1.8","1.2","18.0","1.7","5.6","28.75","9.43","","","","24-193","Sep 23, 2024"
"DiscPro ","Wildwood Sawmill","180.1","21.7","1.8","1.2","18.9","1.4","5.5","47.50","7.39","","","","24-192","Sep 23, 2024"
"Millennium Golf Discs","Mars Rover (renamed from Rover)","180.9","21.8","1.5","1.1","18.8","1.5","5.0","35.00","7.50","","","","24-189","Sep 23, 2024"
"Lightspeed Disc Golf","Daybreaker","176.0","21.2","1.5","1.2","18.5","1.4","5.7","48.25","7.95","","","","24-188","Sep 21, 2024"
"Discape Disc Golf Inc.","Aquarion","174.3","21.0","1.9","1.4","18.9","1.1","6.7","67.50","12.16","","","","24-183","Sep 16, 2024"
"Momentum Discs AB","Rush","175.1","21.1","2.0","1.5","18.7","1.2","7.1","61.50","9.66","","","","24-186","Sep 16, 2024"
"三佥攵 (Sān Qiān Pū）","Monkey King (美猴王）","175.1","21.1","1.9","1.4","18.9","1.1","6.6","61.75","9.77","","","","24-184","Sep 16, 2024"
"三佥攵 (Sān Qiān Pū）","Trouble Maker (捣蛋鬼)","175.1","21.1","1.9","1.4","18.8","1.1","6.6","60.50","10.23","","","","24-185","Sep 16, 2024"
"Discmania","P1x (new)","176.0","21.2","2.0","1.4","19.0","1.1","6.6","59.75","12.05","","","","24-187","Sep 16, 2024"
"Kalaxy Discs","Milky Way","174.3","21.0","1.4","1.1","16.3","2.4","5.2","26.00","9.66","","","","24-181","Sep 9, 2024"
"Elevation Disc Golf","Screech","175.1","21.1","1.6","1.3","18.7","1.2","6.2","60.25","2.05","","","","24-178","Sep 9, 2024"
"Loop Discs","Wonder","177.6","21.4","1.7","1.3","18.5","1.4","6.1","43.00","7.16","","","","24-182","Sep 9, 2024"
"Discmania","P2x","176.0","21.2","1.9","1.3","18.9","1.1","6.1","69.75","7.95","","","","24-179","Sep 9, 2024"
"Disc Golf Association","Typhoon (renamed from DGA202408)","175.1","21.1","1.7","1.1","16.5","2.3","5.2","31.25","11.36","","","","24-180","Sep 9, 2024"
"Goeringer Discs","Apple Blossom","176.0","21.2","2.3","1.5","19.0","1.1","7.1","74.50","5.80","","","","24-176","Sep 2, 2024"
"Lone Star Disc","Rio Grande","175.1","21.1","1.9","1.2","17.7","1.7","5.7","29.75","8.86","","","","24-174","Aug 26, 2024"
"Lone Star Disc","Desperado","175.1","21.1","1.8","1.2","17.3","1.9","5.7","28.50","8.41","","","","24-173","Aug 26, 2024"
"Finish Line Discs","Chicane","177.6","21.4","1.6","1.4","19.1","1.2","6.5","58.25","10.57","","","","24-166","Aug 19, 2024"
"Finish Line Discs","Sector","180.9","21.8","1.9","1.5","19.1","1.3","6.9","45.50","9.55","","","","24-167","Aug 19, 2024"
"Compound Discs","Citadel","178.5","21.5","1.6","1.2","19.5","1.0","5.6","72.00","5.34","","","","24-171","Aug 19, 2024"
"Trash Panda Disc Golf","Extraterrestrial I","175.1","21.1","1.8","1.1","16.8","2.6","5.2","29.00","11.48","","","","24-170","Aug 19, 2024"
"Streamline Discs","Range","176.0","21.2","1.8","1.3","19.2","1.0","6.1","71.50","7.16","","","","24-172","Aug 19, 2024"
"Meridian Discs","Chasm","176.0","21.2","1.6","1.1","16.8","2.2","5.2","28.25","9.87","","","","24-165","Aug 12, 2024"
"Essential Discs","Reflection","176.0","21.2","1.8","1.1","17.8","1.7","5.2","33.75","6.70","","","","24-164","Aug 12, 2024"
"Doomsday Discs","Chemtrail","176.0","21.2","1.7","1.1","17.8","1.7","5.2","33.00","8.52","","","","24-168","Aug 12, 2024"
"Goliath Discs","Samson","178.5","21.5","1.6","1.1","18.5","1.5","5.1","43.75","9.09","","","","24-169","Aug 12, 2024"
"Doomsday Discs","Cyber Putter","174.3","21.0","2.1","1.6","19.0","1.0","7.6","69.00","5.11","","","","24-158","Aug 5, 2024"
"Newb SimHouse Custom Discs","NSH15 Reliant","176.8","21.3","1.5","1.2","17.2","2.0","5.6","37.50","7.05","","","","24-159","Aug 5, 2024"
"Native Discs","EcoGlo Thunder (Heloha)","179.3","21.6","1.7","1.2","19.0","1.3","5.6","41.50","9.20","","","","24-160","Aug 5, 2024"
"Native Discs","EcoGlo Tornado (Mahli Chito)","176.0","21.2","1.7","1.2","17.2","2.0","5.7","28.50","11.25","","","","24-161","Aug 5, 2024"
"Native Discs","EcoGlo Trickster (Chukfi)","175.1","21.1","2.2","1.4","19.1","1.0","6.6","72.50","9.89","","","","24-162","Aug 5, 2024"
"Disgo (Volen Tech)","GD1","176.8","21.3","1.8","1.1","16.9","2.2","5.2","28.00","9.89","","","","24-153","Jul 29, 2024"
"Disgo (Volen Tech)","GF1","178.5","21.5","1.8","1.2","18.1","1.7","5.6","28.75","8.30","","","","24-154","Jul 29, 2024"
"Disgo (Volen Tech)","GP1","174.3","21.0","2.2","1.6","19.0","1.0","7.6","59.75","7.50","","","","24-156","Jul 29, 2024"
"Disgo (Volen Tech)","GM1","178.5","21.5","2.2","1.4","18.9","1.3","6.5","41.00","8.07","","","","24-155","Jul 29, 2024"
"Disgo (Volen Tech)","GP2","176.8","21.3","1.6","1.4","19.0","1.2","6.6","57.75","7.05","","","","24-157","Jul 29, 2024"
"X-UFO (Ace Mould Co., Ltd)","Star Ship","178.5","21.5","1.8","1.1","17.5","2.0","5.1","27.50","7.16","","","","24-150","Jul 25, 2024"
"X-UFO (Ace Mould Co., Ltd)","Star Zone","176.8","21.3","1.7","1.4","19.0","1.2","5.6","54.50","6.93","","","","24-152","Jul 25, 2024"
"X-UFO (Ace Mould Co., Ltd)","Star Craft","179.3","21.6","1.6","1.1","17.5","2.0","5.1","29.75","7.50","","","","24-149","Jul 25, 2024"
"X-UFO (Ace Mould Co., Ltd)","Star Trek","178.5","21.5","1.7","1.1","17.3","2.1","5.1","30.25","10.80","","","","24-151","Jul 25, 2024"
"Trash Panda Disc Golf","Extraterrestrial II","175.1","21.1","1.9","1.1","16.9","2.4","5.2","30.75","10.68","","","","24-148","Jul 25, 2024"
"Lone Star Disc","Bash","175.1","21.1","1.7","1.5","19.0","1.0","7.1","72.25","5.91","","","","24-146","Jul 22, 2024"
"Lone Star Disc","Cactus","176.0","21.2","1.6","1.1","17.0","2.1","5.2","28.50","7.84","","","","24-147","Jul 22, 2024"
"Alfa Discs","Laks","175.1","21.1","1.6","1.1","16.5","2.3","5.2","27.50","9.32","","","","24-141","Jul 15, 2024"
"Qingdao Hippo Sport Products Co., Ltd.","Mooring","176.0","21.2","2.2","1.5","19.1","1.0","7.1","66.00","11.14","","","","24-142","Jul 15, 2024"
"Kestrel Outdoors","AirFlight","176.0","21.2","1.7","1.1","17.4","1.9","5.2","31.75","9.77","","","","24-144","Jul 15, 2024"
"Kestrel Outdoors","SubZero","175.1","21.1","1.8","1.3","17.8","1.6","6.2","35.75","11.25","","","","24-145","Jul 15, 2024"
"Lightspeed Disc Golf","Ember","174.3","21.0","1.9","1.6","18.8","1.1","7.6","56.25","9.09","","","","24-117","Jul 8, 2024"
"XCOM Discs","Aquila (天鹰座)","176.0","21.2","1.8","1.1","17.3","1.9","5.2","30.50","8.41","","","","24-138","Jul 8, 2024"
"Qingdao Hippo Sport Products Co., Ltd.","Shadow Slicer","176.0","21.2","1.8","1.1","17.8","1.7","5.2","32.25","7.95","","","","24-137","Jul 8, 2024"
"Gorilla Performance Discs","The Chimp","176.0","21.2","1.8","1.4","19.0","1.1","6.6","58.25","8.07","","","","24-140","Jul 8, 2024"
"Qingdao Hippo Sport Products Co., Ltd.","Dawn Chaser","179.3","21.6","1.7","1.3","18.7","1.4","6.0","48.75","7.93","","","","24-136","Jul 8, 2024"
"Discraft","Captain's Thrasher (modified overstable Thrasher)","175.1","21.1","1.7","1.2","16.8","2.1","5.7","26.50","8.52","","","","24-135","Jul 1, 2024"
"Supersonic Discs","Sugar Glider","179.3","21.6","1.6","1.1","17.7","1.9","5.1","35.75","11.93","","","","24-133","Jun 30, 2024"
"Compound Discs","Path","175.1","21.1","2.3","1.4","19.2","1.0","6.6","76.50","5.68","","","","24-132","Jun 30, 2024"
"Discmania","Notion","176.0","21.2","2.0","1.3","19.2","1.0","6.1","54.75","6.82","","","","24-134","Jun 30, 2024"
"Albatross Disc Golf","Mystic Grove","175.1","21.1","1.4","1.1","16.3","2.3","5.2","27.25","8.52","","","","24-131","Jun 17, 2024"
"Birdie","Rise","179.3","21.6","1.6","1.2","18.7","1.4","5.6","47.00","7.50","","","","24-130","Jun 17, 2024"
"Disc 4 Fun","Swisch","174.3","21.0","1.9","1.4","19.0","1.0","6.7","59.50","7.05","","","","24-129","Jun 17, 2024"
"H13 Disc Golf","Embark","174.3","21.0","2.3","1.5","19.0","1.0","7.1","53.50","9.55","","","","24-126","Jun 13, 2024"
"H13 Disc Golf","Adventurer","176.8","21.3","1.8","1.2","17.9","1.7","5.6","30.25","12.05","","","","24-124","Jun 13, 2024"
"H13 Disc Golf","Companion","176.8","21.3","1.9","1.3","19.3","1.0","6.1","49.75","7.84","","","","24-125","Jun 13, 2024"
"Discmania","Drop","176.0","21.2","1.6","1.3","18.7","1.2","6.1","56.50","8.75","","","","24-127","Jun 13, 2024"
"Clash Discs","Cookie (Tone variant)","177.6","21.4","1.8","1.2","17.8","1.8","5.6","35.50","9.66","","","","24-128","Jun 13, 2024"
"Albatross Disc Golf","Silent Forest","176.0","21.2","1.9","1.5","19.0","1.1","7.1","50.50","9.89","","","","24-122","Jun 10, 2024"
"Albatross Disc Golf","Canyon Echo","175.1","21.1","1.5","1.1","17.3","1.9","5.2","29.25","11.59","","","","24-118","Jun 10, 2024"
"Albatross Disc Golf","Crested Peak","175.1","21.1","1.6","1.1","17.2","1.9","5.2","33.75","11.36","","","","24-119","Jun 10, 2024"
"Albatross Disc Golf","Serene Sky","180.1","21.7","1.8","1.1","19.2","1.2","5.1","46.75","9.77","","","","24-121","Jun 10, 2024"
"Albatross Disc Golf","Summit Crest","179.3","21.6","1.6","1.1","19.0","1.3","5.1","47.75","11.02","","","","24-123","Jun 10, 2024"
"Albatross Disc Golf","Rippling Waters","176.0","21.2","2.1","1.5","19.0","1.1","7.1","64.25","10.45","","","","24-120","Jun 10, 2024"
"Deuz Disc Golf","Milestone (Saavutus/Virstanpylväs)","176.0","21.2","1.7","1.4","18.3","1.4","6.6","37.50","5.57","","","","24-113","Jun 3, 2024"
"Latitude 64","Sinus (New)","176.0","21.2","1.9","1.4","19.0","1.1","6.6","54.25","7.39","","","","24-115","Jun 3, 2024"
"Gorilla Performance Discs","Spider Monkey","175.1","21.1","1.7","1.2","17.7","1.7","5.7","35.75","7.73","","","","24-116","Jun 3, 2024"
"Jester Disc Golf","Wild Thing","176.0","21.2","1.9","1.5","18.8","1.2","7.1","68.75","11.59","","","","24-112","May 27, 2024"
"Essential Discs","Integrity (renamed from Balance)","179.3","21.6","1.7","1.3","18.7","1.4","6.0","48.75","7.39","","","","24-110","May 27, 2024"
"H13 Disc Golf","Wanderlust","175.1","21.1","2.0","1.2","16.6","2.3","5.7","27.25","10.80","","","","24-111","May 27, 2024"
"Gateway Disc Sports","Javelin","175.1","21.1","1.7","1.2","16.4","2.3","5.7","29.75","12.05","","","","24-106","May 20, 2024"
"Innova Champion Discs","Gorgon","176.0","21.2","1.6","1.1","16.9","2.1","5.2","34.75","10.11","","","","24-104","May 20, 2024"
"Discmania","Function","176.0","21.2","1.8","1.1","17.4","1.9","5.2","31.75","8.98","","","","24-107","May 20, 2024"
"Lone Star Disc","Trinity","175.1","21.1","1.8","1.2","17.4","1.8","5.7","27.50","8.18","","","","24-108","May 20, 2024"
"Northstar Discs","Paladin US","174.3","21.0","1.7","1.2","17.1","2.0","5.7","32.00","9.66","","","","24-98","May 10, 2024"
"Gateway Disc Sports","Aura","174.3","21.0","1.7","1.1","16.6","2.2","5.2","29.00","11.82","","","","24-99","May 10, 2024"
"Supersonic Discs","Loop","198.4","23.9","2.6","1.7","21.8","1.0","7.1","77.00","8.64","","160.1","","24-100","May 10, 2024"
"Supersonic Discs","Pondskater","179.3","21.6","1.8","1.2","17.6","2.0","5.6","40.75","11.82","","","","24-101","May 10, 2024"
"Lone Star Disc","Houston","178.5","21.5","1.9","1.4","18.8","1.4","6.5","38.25","7.50","","","","24-102","May 10, 2024"
"Lone Star Disc","The Tex","175.1","21.1","1.8","1.1","17.7","1.7","5.2","33.25","7.95","","","","24-103","May 10, 2024"
"Independent Discs Sweden AB","Soul (variant)","176.0","21.2","1.5","1.2","17.2","2.0","5.7","31.25","11.93","","","","24-96","May 6, 2024"
"Independent Discs Sweden AB","Sense (variant)","176.0","21.2","1.9","1.3","18.9","1.1","6.1","58.75","9.20","","","","24-95","May 6, 2024"
"Clash Discs","Lotus (Tone variant)","177.6","21.4","1.9","1.2","17.6","1.9","5.6","32.50","10.11","","","","24-93","May 6, 2024"
"ProtoFlyte","CNCi","175.1","21.1","1.9","1.2","16.3","2.4","5.7","33.75","12.16","","","","24-94","May 6, 2024"
