brand,moldName,brandSlug,canonicalMold
Axiom Discs,Wrath,axiom-discs,wrath
Birdie,Marvel,birdie,marvel
Birdie,Reach,birdie,reach
Birdie,Rise,birdie,rise
Birdie,Weapon,birdie,weapon
Clash Discs,Berry,clash-discs,berry
Clash Discs,Butter,clash-discs,butter
Clash Discs,Candy,clash-discs,candy
Clash Discs,Cherry,clash-discs,cherry
Clash Discs,Cinnamon,clash-discs,cinnamon
Clash Discs,Cookie,clash-discs,cookie
Clash Discs,Fudge,clash-discs,fudge
Clash Discs,Ginger,clash-discs,ginger
Clash Discs,Guava,clash-discs,guava
Clash Discs,Lotus,clash-discs,lotus
Clash Discs,Mango,clash-discs,mango
Clash Discs,Millet,clash-discs,millet
Clash Discs,Mint,clash-discs,mint
Clash Discs,Peach,clash-discs,peach
Clash Discs,Pepper,clash-discs,pepper
Clash Discs,Peppermint,clash-discs,peppermint
Clash Discs,Popcorn,clash-discs,popcorn
Clash Discs,Sage,clash-discs,sage
Clash Discs,Salt,clash-discs,salt
Clash Discs,Soda,clash-discs,soda
Clash Discs,Spice,clash-discs,spice
Clash Discs,Vanilla,clash-discs,vanilla
Clash Discs,Wild Honey,clash-discs,wildhoney
Climo Disc Golf,Apogee,climo-disc-golf,apogee
Climo Disc Golf,Belleair,climo-disc-golf,belleair
Climo Disc Golf,Champ,climo-disc-golf,champ
Climo Disc Golf,Cliff,climo-disc-golf,cliff
Climo Disc Golf,Skyway,climo-disc-golf,skyway
Climo Disc Golf,Streak,climo-disc-golf,streak
Crosslap,Credo,crosslap,credo
Crosslap,Lucky,crosslap,lucky
Crosslap,Openwater,crosslap,openwater
Crosslap,Shadowplay,crosslap,shadowplay
Crosslap,Vigil,crosslap,vigil
Daredevil Discs,Albatross,daredevil-discs,albatross
Daredevil Discs,Beaver,daredevil-discs,beaver
Daredevil Discs,Big Horn,daredevil-discs,bighorn
Daredevil Discs,BigFoot,daredevil-discs,bigfoot
Daredevil Discs,Buffalo,daredevil-discs,buffalo
Daredevil Discs,Caribou,daredevil-discs,caribou
Daredevil Discs,Great Horned Owl,daredevil-discs,greathornedowl
Daredevil Discs,Grizzly,daredevil-discs,grizzly
Daredevil Discs,Hellbender,daredevil-discs,hellbender
Daredevil Discs,Hellbender (Razorback),daredevil-discs,hellbenderrazorback
Daredevil Discs,Mammoth,daredevil-discs,mammoth
Daredevil Discs,Merlin,daredevil-discs,merlin
Daredevil Discs,Moose,daredevil-discs,moose
Daredevil Discs,Ogopogo,daredevil-discs,ogopogo
Daredevil Discs,Polar Bear,daredevil-discs,polarbear
Daredevil Discs,Sabertooth,daredevil-discs,sabertooth
Daredevil Discs,Sasquatch,daredevil-discs,sasquatch
Daredevil Discs,Swift Fox,daredevil-discs,swiftfox
Daredevil Discs,Timberwolf,daredevil-discs,timberwolf
Daredevil Discs,Walrus,daredevil-discs,walrus
Daredevil Discs,Wolverine,daredevil-discs,wolverine
Daredevil Discs,Woodchuck,daredevil-discs,woodchuck
Daredevil Discs,Yeti,daredevil-discs,yeti
DGA,Aftershock,dga,aftershock
DGA,Avalanche,dga,avalanche
DGA,Banzai,dga,banzai
DGA,Blast,dga,blast
DGA,Blowfly,dga,blowfly
DGA,Breaker,dga,breaker
DGA,Gumbputt,dga,gumbputt
DGA,Hellfire,dga,hellfire
DGA,Hurricane,dga,hurricane
DGA,Hypercane,dga,hypercane
DGA,Pipeline,dga,pipeline
DGA,Quake,dga,quake
DGA,Reef,dga,reef
DGA,Rift,dga,rift
DGA,Riptide,dga,riptide
DGA,Rogue,dga,rogue
DGA,Sail,dga,sail
DGA,Shockwave,dga,shockwave
DGA,Sonar,dga,sonar
DGA,Squall,dga,squall
DGA,Steady,dga,steady
DGA,Steady BL,dga,steadybl
DGA,Surf,dga,surf
DGA,Tempest,dga,tempest
DGA,Torrent,dga,torrent
DGA,Tremor,dga,tremor
DGA,Tsunami,dga,tsunami
DGA,Typhoon,dga,typhoon
DGA,Undertow,dga,undertow
DGA,Vortex,dga,vortex
Dino Discs,Allosaurus,dino-discs,allosaurus
Dino Discs,Brachiosaurus,dino-discs,brachiosaurus
Dino Discs,Diplodocus,dino-discs,diplodocus
Dino Discs,Pterodactyl,dino-discs,pterodactyl
Dino Discs,Spinosaurus,dino-discs,spinosaurus
Dino Discs,Stegosaurus,dino-discs,stegosaurus
Dino Discs,Triceratops,dino-discs,triceratops
Dino Discs,Tyrannosaurus Rex,dino-discs,tyrannosaurusrex
Discmania,Astronaut,discmania,astronaut
Discmania,CD (OOP),discmania,cdoop
Discmania,CD1,discmania,cd1
Discmania,CD3 (OOP),discmania,cd3oop
Discmania,DD,discmania,dd
Discmania,DD1,discmania,dd1
Discmania,DD2,discmania,dd2
Discmania,DD2 (OOP),discmania,dd2oop
Discmania,DDx (OOP),discmania,ddxoop
Discmania,Drop,discmania,drop
Discmania,Enigma,discmania,enigma
Discmania,Essence,discmania,essence
Discmania,FD1,discmania,fd1
Discmania,FD2 (OOP),discmania,fd2oop
Discmania,FD3,discmania,fd3
Discmania,Founder,discmania,founder
Discmania,Function,discmania,function
Discmania,Genius,discmania,genius
Discmania,Glacier,discmania,glacier
Discmania,Instinct,discmania,instinct
Discmania,Link,discmania,link
Discmania,Logic,discmania,logic
Discmania,Maestro,discmania,maestro
Discmania,Magician,discmania,magician
Discmania,Majesty,discmania,majesty
Discmania,MD,discmania,md
Discmania,MD1,discmania,md1
Discmania,MD2 (OOP),discmania,md2oop
Discmania,MD3X,discmania,md3x
Discmania,MD4,discmania,md4
Discmania,MD5,discmania,md5
Discmania,Mentor,discmania,mentor
Discmania,Mermaid,discmania,mermaid
Discmania,Mutant,discmania,mutant
Discmania,Notion,discmania,notion
Discmania,Origin,discmania,origin
Discmania,P1,discmania,p1
Discmania,P1X,discmania,p1x
Discmania,P2X,discmania,p2x
Discmania,P3 (OOP),discmania,p3oop
Discmania,P3X,discmania,p3x
Discmania,P4,discmania,p4
Discmania,Paradigm,discmania,paradigm
Discmania,PD2,discmania,pd2
Discmania,PD3 (OOP),discmania,pd3oop
Discmania,PDx (OOP),discmania,pdxoop
Discmania,Rainmaker,discmania,rainmaker
Discmania,Rockstar,discmania,rockstar
Discmania,Sensei,discmania,sensei
Discmania,Shogun,discmania,shogun
Discmania,Splice,discmania,splice
Discmania,Spore,discmania,spore
Discmania,Tactic,discmania,tactic
Discmania,Tailor,discmania,tailor
Discmania,TD,discmania,td
Discmania,TDx (OOP),discmania,tdxoop
Discmania,Tilt,discmania,tilt
Discmania,Vanguard,discmania,vanguard
Discraft,Anax,discraft,anax
Discraft,APX,discraft,apx
Discraft,Archer,discraft,archer
Discraft,Athena,discraft,athena
Discraft,Avenger,discraft,avenger
Discraft,Avenger SS,discraft,avengerss
Discraft,Banger GT,discraft,bangergt
Discraft,Buzzz GT,discraft,buzzzgt
Discraft,Buzzz SS,discraft,buzzzss
Discraft,Captain's Raptor,discraft,captainsraptor
Discraft,Captain's Thrasher,discraft,captainsthrasher
Discraft,Challenger,discraft,challenger
Discraft,Challenger OS,discraft,challengeros
Discraft,Challenger SS,discraft,challengerss
Discraft,Cicada,discraft,cicada
Discraft,Cigarra,discraft,cigarra
Discraft,Comet,discraft,comet
Discraft,Crank,discraft,crank
Discraft,Crank SS,discraft,crankss
Discraft,Crush,discraft,crush
Discraft,Cyclone,discraft,cyclone
Discraft,Drive,discraft,drive
Discraft,Drone,discraft,drone
Discraft,Fierce,discraft,fierce
Discraft,Flash,discraft,flash
Discraft,Flick,discraft,flick
Discraft,Focus,discraft,focus
Discraft,Fossil,discraft,fossil
Discraft,Glide,discraft,glide
Discraft,Hades,discraft,hades
Discraft,Hallux,discraft,hallux
Discraft,Hawk,discraft,hawk
Discraft,Hornet,discraft,hornet
Discraft,Impact,discraft,impact
Discraft,Joy,discraft,joy
Discraft,Kratos,discraft,kratos
Discraft,Machete,discraft,machete
Discraft,Magnet,discraft,magnet
Discraft,Malita,discraft,malita
Discraft,Malta,discraft,malta
Discraft,Mantis,discraft,mantis
Discraft,Nebula,discraft,nebula
Discraft,Nuke OS,discraft,nukeos
Discraft,Nuke SS,discraft,nukess
Discraft,Passion,discraft,passion
Discraft,Predator,discraft,predator
Discraft,Pulse,discraft,pulse
Discraft,Punisher,discraft,punisher
Discraft,Putt'r,discraft,puttr
Discraft,Raptor,discraft,raptor
Discraft,Rattler,discraft,rattler
Discraft,Reaper,discraft,reaper
Discraft,Ringer,discraft,ringer
Discraft,Ringer GT,discraft,ringergt
Discraft,Roach,discraft,roach
Discraft,Scorch,discraft,scorch
Discraft,Sled,discraft,sled
Discraft,Sol,discraft,sol
Discraft,Stalker,discraft,stalker
Discraft,Sting,discraft,sting
Discraft,Stratus,discraft,stratus
Discraft,Surge,discraft,surge
Discraft,Surge SS,discraft,surgess
Discraft,Swarm,discraft,swarm
Discraft,Talon,discraft,talon
Discraft,Thrasher,discraft,thrasher
Discraft,Venom (Old Version - OOP),discraft,venomoldversionoop
Discraft,Venom (Retooled),discraft,venomretooled
Discraft,Vulture,discraft,vulture
Discraft,Wasp,discraft,wasp
Discraft,Wildcat,discraft,wildcat
Discraft,XL,discraft,xl
Discraft,Xpress,discraft,xpress
Discraft,XS,discraft,xs
Discraft,Xtreme,discraft,xtreme
Discraft,Zeppelin,discraft,zeppelin
Discraft,Zeus,discraft,zeus
Discraft,Zombee,discraft,zombee
Discraft,Zone GT (Banger Top),discraft,zonegtbangertop
Discraft,Zone OS,discraft,zoneos
Discraft,Zone SS,discraft,zoness
Disctroyer,DD-13 Starling,disctroyer,dd13starling
Disctroyer,FD-8 Stork,disctroyer,fd8stork
Disctroyer,MR-5 Skylark,disctroyer,mr5skylark
Disctroyer,Nightjar,disctroyer,nightjar
Disctroyer,PA-3 Sparrow,disctroyer,pa3sparrow
Divergent,Alpas,divergent,alpas
Divergent,Wyrm,divergent,wyrm
Doomsday Discs,Area 51,doomsday-discs,area51
Doomsday Discs,Blackout,doomsday-discs,blackout
Doomsday Discs,Bleak,doomsday-discs,bleak
Doomsday Discs,Cataclysm,doomsday-discs,cataclysm
Doomsday Discs,Chemtrail,doomsday-discs,chemtrail
Doomsday Discs,Crisis,doomsday-discs,crisis
Doomsday Discs,Cyber Putter,doomsday-discs,cyberputter
Doomsday Discs,Depth Charge,doomsday-discs,depthcharge
Doomsday Discs,Desolation,doomsday-discs,desolation
Doomsday Discs,Despair,doomsday-discs,despair
Doomsday Discs,Famine,doomsday-discs,famine
Doomsday Discs,Flat Earth,doomsday-discs,flatearth
Doomsday Discs,Ice Age,doomsday-discs,iceage
Doomsday Discs,Land Mine,doomsday-discs,landmine
Doomsday Discs,Monstrosity,doomsday-discs,monstrosity
Doomsday Discs,Oblivion,doomsday-discs,oblivion
Doomsday Discs,Pestilence,doomsday-discs,pestilence
Doomsday Discs,Plague,doomsday-discs,plague
Doomsday Discs,Psyop,doomsday-discs,psyop
Doomsday Discs,Rot,doomsday-discs,rot
Doomsday Discs,Solar Death Ray,doomsday-discs,solardeathray
Dynamic Discs,Agent,dynamic-discs,agent
Dynamic Discs,Bounty,dynamic-discs,bounty
Dynamic Discs,Breakout,dynamic-discs,breakout
Dynamic Discs,Captain,dynamic-discs,captain
Dynamic Discs,Convict,dynamic-discs,convict
Dynamic Discs,Criminal,dynamic-discs,criminal
Dynamic Discs,Culprit,dynamic-discs,culprit
Dynamic Discs,Defender,dynamic-discs,defender
Dynamic Discs,Deputy,dynamic-discs,deputy
Dynamic Discs,EMAC Judge,dynamic-discs,emacjudge
Dynamic Discs,Enforcer,dynamic-discs,enforcer
Dynamic Discs,Evader,dynamic-discs,evader
Dynamic Discs,Evidence,dynamic-discs,evidence
Dynamic Discs,Fugitive,dynamic-discs,fugitive
Dynamic Discs,Fugitive (Supreme),dynamic-discs,fugitivesupreme
Dynamic Discs,General,dynamic-discs,general
Dynamic Discs,Getaway,dynamic-discs,getaway
Dynamic Discs,Guard,dynamic-discs,guard
Dynamic Discs,Heist,dynamic-discs,heist
Dynamic Discs,Jury,dynamic-discs,jury
Dynamic Discs,Marshal,dynamic-discs,marshal
Dynamic Discs,Maverick,dynamic-discs,maverick
Dynamic Discs,Motive,dynamic-discs,motive
Dynamic Discs,Patrol,dynamic-discs,patrol
Dynamic Discs,Raider,dynamic-discs,raider
Dynamic Discs,Renegade,dynamic-discs,renegade
Dynamic Discs,Sergeant,dynamic-discs,sergeant
Dynamic Discs,Slammer,dynamic-discs,slammer
Dynamic Discs,Sockibomb Felon,dynamic-discs,sockibombfelon
Dynamic Discs,Sockibomb Slammer,dynamic-discs,sockibombslammer
Dynamic Discs,Supreme EMac Truth,dynamic-discs,supremeemactruth
Dynamic Discs,Supreme Trespass,dynamic-discs,supremetrespass
Dynamic Discs,Suspect,dynamic-discs,suspect
Dynamic Discs,Thief,dynamic-discs,thief
Dynamic Discs,Treason,dynamic-discs,treason
Dynamic Discs,Truth,dynamic-discs,truth
Dynamic Discs,"Truth, EMAC",dynamic-discs,truthemac
Dynamic Discs,Vandal,dynamic-discs,vandal
Dynamic Discs,Verdict,dynamic-discs,verdict
Dynamic Discs,Warant,dynamic-discs,warant
Dynamic Discs,Witness,dynamic-discs,witness
Elevation Disc Golf,Arowana,elevation-disc-golf,arowana
Elevation Disc Golf,"Binx, ecoFlex",elevation-disc-golf,binxecoflex
Elevation Disc Golf,"Binx, Newcomer",elevation-disc-golf,binxnewcomer
Elevation Disc Golf,Capybara,elevation-disc-golf,capybara
Elevation Disc Golf,Gecko,elevation-disc-golf,gecko
Elevation Disc Golf,Interceptor,elevation-disc-golf,interceptor
Elevation Disc Golf,Koi,elevation-disc-golf,koi
Elevation Disc Golf,Nimbus,elevation-disc-golf,nimbus
Elevation Disc Golf,OG Binx,elevation-disc-golf,ogbinx
Elevation Disc Golf,Psychic,elevation-disc-golf,psychic
Elevation Disc Golf,Screech,elevation-disc-golf,screech
EV-7,Agera,ev-7,agera
EV-7,Mobius,ev-7,mobius
EV-7,Penrose,ev-7,penrose
EV-7,Phi,ev-7,phi
EV-7,Telos,ev-7,telos
EV-7,Yang,ev-7,yang
EV-7,Yin,ev-7,yin
Finish Line,Chicane,finish-line,chicane
Finish Line,Daytona,finish-line,daytona
Finish Line,Era,finish-line,era
Finish Line,Interval,finish-line,interval
Finish Line,Pace,finish-line,pace
Finish Line,Rally,finish-line,rally
Finish Line,Sector,finish-line,sector
Finish Line,Supra,finish-line,supra
Finish Line,Torque,finish-line,torque
Gateway,Air Strike,gateway,airstrike
Gateway,Amphibian,gateway,amphibian
Gateway,Apache (OOP),gateway,apacheoop
Gateway,Apache (retooled),gateway,apacheretooled
Gateway,Apex,gateway,apex
Gateway,Assassin,gateway,assassin
Gateway,Aura,gateway,aura
Gateway,Black Zombie Chainsaw,gateway,blackzombiechainsaw
Gateway,Blade,gateway,blade
Gateway,Blaze,gateway,blaze
Gateway,Chief,gateway,chief
Gateway,Chief OS,gateway,chiefos
Gateway,Demon,gateway,demon
Gateway,Devil Hawk,gateway,devilhawk
Gateway,Diablo,gateway,diablo
Gateway,Element,gateway,element
Gateway,Ether,gateway,ether
Gateway,G-One,gateway,gone
Gateway,Houdini,gateway,houdini
Gateway,Hybrid,gateway,hybrid
Gateway,Illusion,gateway,illusion
Gateway,Journey,gateway,journey
Gateway,Magic,gateway,magic
Gateway,Morningstar,gateway,morningstar
Gateway,Mystic,gateway,mystic
Gateway,Ninja,gateway,ninja
Gateway,Odyssey,gateway,odyssey
Gateway,Prophecy,gateway,prophecy
Gateway,Realm,gateway,realm
Gateway,Sabre,gateway,sabre
Gateway,Samurai,gateway,samurai
Gateway,Scale,gateway,scale
Gateway,Serpent,gateway,serpent
Gateway,Shaman,gateway,shaman
Gateway,Slayer,gateway,slayer
Gateway,Spear,gateway,spear
Gateway,Speed Demon,gateway,speeddemon
Gateway,Spell,gateway,spell
Gateway,Spirit,gateway,spirit
Gateway,Voodoo,gateway,voodoo
Gateway,Wand,gateway,wand
Gateway,War Spear,gateway,warspear
Gateway,Warlock,gateway,warlock
Gateway,Warrior (Gateway),gateway,warriorgateway
Gateway,Wizard,gateway,wizard
Hooligan Discs,Flip,hooligan-discs,flip
Hooligan Discs,Thread,hooligan-discs,thread
Hooligan Discs,Vibe,hooligan-discs,vibe
Hooligan Discs,Yeet,hooligan-discs,yeet
Infinite Discs,Anubis,infinite-discs,anubis
Infinite Discs,Artifact,infinite-discs,artifact
Infinite Discs,Aztec,infinite-discs,aztec
Infinite Discs,Chariot,infinite-discs,chariot
Infinite Discs,Cohort,infinite-discs,cohort
Infinite Discs,Conqueror,infinite-discs,conqueror
Infinite Discs,Czar,infinite-discs,czar
Infinite Discs,Dynasty,infinite-discs,dynasty
Infinite Discs,Exodus,infinite-discs,exodus
Infinite Discs,Galleon,infinite-discs,galleon
Infinite Discs,Glyph,infinite-discs,glyph
Infinite Discs,Inca,infinite-discs,inca
Infinite Discs,Khonsu,infinite-discs,khonsu
Infinite Discs,Kon Tiki,infinite-discs,kontiki
Infinite Discs,Myth,infinite-discs,myth
Infinite Discs,RA,infinite-discs,ra
Infinite Discs,Raze,infinite-discs,raze
Infinite Discs,Roman,infinite-discs,roman
Infinite Discs,Ruin,infinite-discs,ruin
Infinite Discs,Scarab,infinite-discs,scarab
Infinite Discs,Scepter,infinite-discs,scepter
Infinite Discs,Slab,infinite-discs,slab
Infinite Discs,Sphinx,infinite-discs,sphinx
Infinite Discs,Sultan,infinite-discs,sultan
Infinite Discs,Tomb,infinite-discs,tomb
Innova,Aero,innova,aero
Innova,Alien,innova,alien
Innova,Animal,innova,animal
Innova,Ape,innova,ape
Innova,Archangel,innova,archangel
Innova,Archon,innova,archon
Innova,Atlas,innova,atlas
Innova,Avatar,innova,avatar
Innova,Aviar Classic,innova,aviarclassic
Innova,Aviar Driver,innova,aviardriver
Innova,Aviar P&A,innova,aviarpanda
Innova,AviarX3,innova,aviarx3
Innova,Banshee,innova,banshee
Innova,Birdie,innova,birdie
Innova,Bullfrog,innova,bullfrog
Innova,Charger,innova,charger
Innova,Cheetah,innova,cheetah
Innova,Classic Roc,innova,classicroc
Innova,Cobra,innova,cobra
Innova,Colt,innova,colt
Innova,Condor,innova,condor
Innova,Corvette,innova,corvette
Innova,Coyote,innova,coyote
Innova,Cro,innova,cro
Innova,Croc,innova,croc
Innova,Daedalus,innova,daedalus
Innova,Dominator (OOP),innova,dominatoroop
Innova,Dragon,innova,dragon
Innova,Fairway Disc,innova,fairwaydisc
Innova,Firefly,innova,firefly
Innova,FL,innova,fl
Innova,Fox,innova,fox
Innova,Gator3,innova,gator3
Innova,Gazelle,innova,gazelle
Innova,Gorgon,innova,gorgon
Innova,Gorgon (GStar),innova,gorgongstar
Innova,Groove,innova,groove
Innova,Hawg,innova,hawg
Innova,Hawkeye,innova,hawkeye
Innova,Hydra,innova,hydra
Innova,Invader,innova,invader
Innova,Invictus,innova,invictus
Innova,IT,innova,it
Innova,Jay,innova,jay
Innova,JK Pro Aviar-X,innova,jkproaviarx
Innova,Juggernaut,innova,juggernaut
Innova,KC Pro Aviar,innova,kcproaviar
Innova,Khan,innova,khan
Innova,Krait,innova,krait
Innova,Lion,innova,lion
Innova,Lynx,innova,lynx
Innova,Mako,innova,mako
Innova,Manta,innova,manta
Innova,Max (OOP),innova,maxoop
Innova,Mid-Disc3,innova,middisc3
Innova,Mirage,innova,mirage
Innova,Monarch,innova,monarch
Innova,Mystere,innova,mystere
Innova,Panther,innova,panther
Innova,Pegasus,innova,pegasus
Innova,Polecat,innova,polecat
Innova,Power Disc (Phantom Sword),innova,powerdiscphantomsword
Innova,Power Disc2,innova,powerdisc2
Innova,Python,innova,python
Innova,Racer,innova,racer
Innova,Ram,innova,ram
Innova,Rat,innova,rat
Innova,Roc X3,innova,rocx3
Innova,Rollo,innova,rollo
Innova,Savant,innova,savant
Innova,Shark3,innova,shark3
Innova,Skeeter,innova,skeeter
Innova,Sonic,innova,sonic
Innova,Starfire,innova,starfire
Innova,Starfire L,innova,starfirel
Innova,Stingray,innova,stingray
Innova,Stud,innova,stud
Innova,Teedevil,innova,teedevil
Innova,TeeRex,innova,teerex
Innova,TL,innova,tl
Innova,TL3,innova,tl3
Innova,Toro,innova,toro
Innova,Viking,innova,viking
Innova,Viper,innova,viper
Innova,VRoc,innova,vroc
Innova,Vulcan,innova,vulcan
Innova,Wahoo,innova,wahoo
Innova,Wedge,innova,wedge
Innova,Whippet,innova,whippet
Innova,Wolf,innova,wolf
Innova,Wombat3,innova,wombat3
Innova,XD,innova,xd
Innova,Xero,innova,xero
Innova,Yeti Pro Aviar,innova,yetiproaviar
Innova,Zephyr,innova,zephyr
Jester Disc Golf,Dream Weaver,jester-disc-golf,dreamweaver
Jester Disc Golf,Love,jester-disc-golf,love
Jester Disc Golf,Peace Train,jester-disc-golf,peacetrain
Jester Disc Golf,Wild Thing,jester-disc-golf,wildthing
Kastaplast,Alva,kastaplast,alva
Kastaplast,Berg,kastaplast,berg
Kastaplast,Berg X,kastaplast,bergx
Kastaplast,Falk,kastaplast,falk
Kastaplast,Gote,kastaplast,gote
Kastaplast,Grym (OOP),kastaplast,grymoop
Kastaplast,Grym X (OOP),kastaplast,grymxoop
Kastaplast,Guld,kastaplast,guld
Kastaplast,Idog,kastaplast,idog
Kastaplast,Impa,kastaplast,impa
Kastaplast,Jarn,kastaplast,jarn
Kastaplast,Kaxe (Old - OOP),kastaplast,kaxeoldoop
Kastaplast,Kaxe (Retooled),kastaplast,kaxeretooled
Kastaplast,Kaxe Z (OOP),kastaplast,kaxezoop
Kastaplast,Krut,kastaplast,krut
Kastaplast,Lots,kastaplast,lots
Kastaplast,Malm,kastaplast,malm
Kastaplast,Nord,kastaplast,nord
Kastaplast,Rask,kastaplast,rask
Kastaplast,Reko,kastaplast,reko
Kastaplast,Reko X,kastaplast,rekox
Kastaplast,Stal,kastaplast,stal
Kastaplast,Stig,kastaplast,stig
Kastaplast,Svea,kastaplast,svea
Kastaplast,Tuff,kastaplast,tuff
Kastaplast,Vass,kastaplast,vass
Latitude 64,Anchor,latitude-64,anchor
Latitude 64,Ballista,latitude-64,ballista
Latitude 64,Beetle,latitude-64,beetle
Latitude 64,Bolt,latitude-64,bolt
Latitude 64,Brave,latitude-64,brave
Latitude 64,Claymore,latitude-64,claymore
Latitude 64,Compass,latitude-64,compass
Latitude 64,Core,latitude-64,core
Latitude 64,Culverin,latitude-64,culverin
Latitude 64,Cutlass,latitude-64,cutlass
Latitude 64,Dagger,latitude-64,dagger
Latitude 64,Diamond,latitude-64,diamond
Latitude 64,Faith,latitude-64,faith
Latitude 64,Flow,latitude-64,flow
Latitude 64,Fury,latitude-64,fury
Latitude 64,Gladiator,latitude-64,gladiator
Latitude 64,Glory,latitude-64,glory
Latitude 64,Halo,latitude-64,halo
Latitude 64,Havoc,latitude-64,havoc
Latitude 64,Honor,latitude-64,honor
Latitude 64,Hope,latitude-64,hope
Latitude 64,Jade,latitude-64,jade
Latitude 64,Keystone,latitude-64,keystone
Latitude 64,Knight,latitude-64,knight
Latitude 64,Mace,latitude-64,mace
Latitude 64,Maul,latitude-64,maul
Latitude 64,Mercy,latitude-64,mercy
Latitude 64,Missilen (OOP),latitude-64,missilenoop
Latitude 64,Musket,latitude-64,musket
Latitude 64,Peak,latitude-64,peak
Latitude 64,Pearl,latitude-64,pearl
Latitude 64,Pioneer,latitude-64,pioneer
Latitude 64,Pirate,latitude-64,pirate
Latitude 64,Raketen (OOP),latitude-64,raketenoop
Latitude 64,River Pro (OOP),latitude-64,riverprooop
Latitude 64,Ruby,latitude-64,ruby
Latitude 64,Saint Pro,latitude-64,saintpro
Latitude 64,Sapphire,latitude-64,sapphire
Latitude 64,Savior,latitude-64,savior
Latitude 64,Sinus,latitude-64,sinus
Latitude 64,Spark,latitude-64,spark
Latitude 64,Stiletto,latitude-64,stiletto
Latitude 64,Striker,latitude-64,striker
Latitude 64,Strive,latitude-64,strive
Latitude 64,Trident,latitude-64,trident
Latitude 64,XXX,latitude-64,xxx
Legacy,Aftermath,legacy,aftermath
Legacy,Badger,legacy,badger
Legacy,Bandit,legacy,bandit
Legacy,Cannon,legacy,cannon
Legacy,Clozer,legacy,clozer
Legacy,Clutch,legacy,clutch
Legacy,Enemy,legacy,enemy
Legacy,Fighter,legacy,fighter
Legacy,Gauge,legacy,gauge
Legacy,Ghost,legacy,ghost
Legacy,Hunter,legacy,hunter
Legacy,Mongoose,legacy,mongoose
Legacy,Nemesis,legacy,nemesis
Legacy,Outlaw,legacy,outlaw
Legacy,Patriot,legacy,patriot
Legacy,Phenom,legacy,phenom
Legacy,Prowler,legacy,prowler
Legacy,Pursuit,legacy,pursuit
Legacy,Rampage,legacy,rampage
Legacy,Rebel,legacy,rebel
Legacy,Recluse,legacy,recluse
Legacy,Recon,legacy,recon
Legacy,Rival,legacy,rival
Legacy,Sumo,legacy,sumo
Legacy,Valor,legacy,valor
Legacy,Vengeance,legacy,vengeance
Lightning,1 Driver,lightning,1driver
Lightning,1 Flyer,lightning,1flyer
Lightning,1 Helix,lightning,1helix
Lightning,1 Hookshot,lightning,1hookshot
Lightning,1 Hyzer,lightning,1hyzer
Lone Star Discs,Armadillo,lone-star-discs,armadillo
Lone Star Discs,Artemis,lone-star-discs,artemis
Lone Star Discs,Bash,lone-star-discs,bash
