id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval,pdga_match_tier,pdga_match_confidence,pdga_disc_model,pdga_manufacturer,pdga_approved_date,pdga_certification_number,pdga_class,pdga_diameter_cm,pdga_height_cm,pdga_rim_depth_cm,pdga_inside_rim_diameter_cm,pdga_rim_thickness_cm,pdga_rim_depth_diameter_ratio_pct,pdga_max_weight_gr,pdga_max_weight_vint_gr,pdga_flexibility_kg,pdga_rim_configuration,pdga_last_year_production,pdga_brand_suggested,pdga_brand_differs_from_merged
489,Kahu XG,RPM,Distance Driver,15,13,5,-2.5,2,Stable,https://www.marshallstreetdiscgolf.com/?s=kahu+xg&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3252025.webp,kahu-xg,rpm,distance-driver,stable,#1FBE25,#434343,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
490,Kang,Yikun,Putter,19,3,5,-2,0,Very Understable,https://www.marshallstreetdiscgolf.com/?s=Kang&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000229.webp,kang,yikun,putter,very-understable,#006A6E,#FF6F8C,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
491,Katana,Innova,Distance Driver,15,13,5,-3,3,Understable,https://www.marshallstreetdiscgolf.com/?s=katana&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8338610.webp,katana,innova,distance-driver,understable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Katana,Innova Champion Discs,"Oct 18, 2009",09-23,,21.2,1.8,1.2,16.3,2.5,5.7,176.0,,10.32,26.25,,Innova Champion Discs,no
492,Kaxe (Old - OOP),Kastaplast,Midrange,18,6,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Kaxe&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8338611.webp,kaxe-old-oop,kastaplast,midrange,overstable,#000000,#21F1B9,,,,,,,,,,,,,,,A_name_brand,high,Kaxe (retooled),Kastaplast,"May 8, 2023",23-137,,21.1,1.7,1.3,17.8,1.6,6.2,175.1,,8.18,35.00,,Kastaplast,no
493,Kaxe (Retooled),Kastaplast,Midrange,18,6,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Kaxe+retooled&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000381.webp,kaxe-retooled,kastaplast,midrange,overstable,#000000,#21F1B9,,,,,,,,,,,,,,,A_name_brand,high,Kaxe (retooled),Kastaplast,"May 8, 2023",23-137,,21.1,1.7,1.3,17.8,1.6,6.2,175.1,,8.18,35.00,,Kastaplast,no
494,Kaxe Z (OOP),Kastaplast,Midrange,18,6,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Kaxe+Z&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8338612.webp,kaxe-z-oop,kastaplast,midrange,overstable,#000000,#21F1B9,,,,,,,,,,,,,,,A_name_brand,high,Kaxe Z,Kastaplast,"Oct 15, 2014",14-79,,21.1,1.9,1.3,18.0,1.5,6.2,175.1,,8.50,34.00,,Kastaplast,no
495,Kea,RPM,Midrange,18,4,3,0,3,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=kea&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/9240899.webp,kea,rpm,midrange,very-overstable,#1FBE25,#434343,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
496,Keystone,Latitude 64,Putter,19,2,5,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=keystone&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010303.webp,keystone,latitude-64,putter,stable,#FFFFFF,#F40909,175.1,21.1,1.9,1.5,19,1,7.1,75,7.94,,,,19-01,"Jan 22, 2019",A_name_brand,high,Keystone,Latitude 64,"Jan 22, 2019",19-01,,21.1,1.9,1.5,19.0,1.0,7.1,175.1,,7.94,75.00,,Latitude 64,no
497,Khan,Innova,Putter,19,3,2,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Khan&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000347.webp,khan,innova,putter,overstable,#2A290E,#F3EB09,,,,,,,,,,,,,,,B_name_unique,medium,Khan,Innova Factory Store,"Jun 26, 2023",23-170,,21.3,1.9,1.5,19.2,1.0,7.0,176.8,,7.61,62.75,,Innova Factory Store,yes
498,Khonsu,Infinite Discs,Midrange,18,5,5,-3,0,Very Understable,https://www.marshallstreetdiscgolf.com/?s=Khonsu&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000414.webp,khonsu,infinite-discs,midrange,very-understable,#FFFFFF,#62054C,180.9,21.8,1.7,1.2,18.9,1.4,5.5,38,10.11,,,,24-18,"Feb 8, 2024",A_name_brand,high,Khonsu,Infinite Discs,"Feb 8, 2024",24-18,,21.8,1.7,1.2,18.9,1.4,5.5,180.9,,10.11,38.00,,Infinite Discs,no
499,King,Westside Discs,Distance Driver,15,14,5,-1.5,3,Understable,https://www.marshallstreetdiscgolf.com/?s=King&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/9240895.webp,king,westside-discs,distance-driver,understable,#FFFFFF,#014E13,,,,,,,,,,,,,,,B_name_unique,medium,King (Pohjolan Isäntä1),Westside Golf Discs,"Nov 16, 2010",10-36,,21.1,1.9,1.1,16.5,2.3,5.2,175.1,,10.55,29.25,,Westside Golf Discs,yes
500,Kiwi,RPM,Control Driver,16,10,4,0,4,Overstable,https://www.marshallstreetdiscgolf.com/?s=kiwi&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000080.webp,kiwi,rpm,hybrid-driver,overstable,#1FBE25,#434343,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
501,Knife,Viking,Putter,19,2,3,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=knife&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/9881008.webp,knife,viking,putter,stable,#000000,#04F40C,,,,,,,,,,,,,,,B_name_unique,medium,Knife,Viking Discs (IP-Agency Finland Oy),"Dec 29, 2016",16-88,,21.1,1.9,1.3,19.1,1.0,8.5,175.1,,10.32,58.75,,Viking Discs (IP-Agency Finland Oy),yes
502,Knight,Latitude 64,Distance Driver,15,14,4,-1.5,3,Understable,https://www.marshallstreetdiscgolf.com/?s=knight&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/9818008.webp,knight,latitude-64,distance-driver,understable,#FFFFFF,#F40909,175.1,21.1,1.6,1.1,16.2,2.5,5.2,28.25,10.89,,,,16-14,"Feb 25, 2016",A_name_brand,high,Knight,Latitude 64,"Feb 25, 2016",16-14,,21.1,1.6,1.1,16.2,2.5,5.2,175.1,,10.89,28.25,,Latitude 64,no
503,Koa,Above Ground Level,Putter,19,2,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=koa&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000534.webp,koa,above-ground-level,putter,stable,#CFFF30,#000000,176,21.2,2,1.4,19.1,1,6.6,70,3.86,,,,25-68,"Apr 28, 2025",A_name_brand,high,Koa,Above Ground Level,"Apr 28, 2025",25-68,,21.2,2.0,1.4,19.1,1.0,6.6,176.0,,3.86,70.00,,Above Ground Level,no
504,Koi,Elevation Disc Golf,Putter,19,3,4,-2,0,Understable,https://www.marshallstreetdiscgolf.com/?s=Koi&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000296.webp,koi,elevation-disc-golf,putter,understable,#FFFFFF,#6A431D,175.1,21.1,1.8,1.4,18.8,1.1,6.6,62.25,0.56,,,,21-49,"Apr 19, 2021",A_name_brand,high,Koi,Elevation Disc Golf,"Apr 19, 2021",21-49,,21.1,1.8,1.4,18.8,1.1,6.6,175.1,,0.56,62.25,,Elevation Disc Golf,no
505,Kon Tiki,Infinite Discs,Midrange,18,4,5,-3,0,Understable,https://www.marshallstreetdiscgolf.com/?s=Kon+Tiki&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000137.webp,kon-tiki,infinite-discs,midrange,understable,#FFFFFF,#62054C,176,21.2,1.7,1.2,19,1.1,5.7,52.5,4.32,,,,21-50,"Apr 19, 2021",A_name_brand,high,Kon Tiki,Infinite Discs,"Apr 19, 2021",21-50,,21.2,1.7,1.2,19.0,1.1,5.7,176.0,,4.32,52.50,,Infinite Discs,no
506,Kotare,RPM,Distance Driver,15,12,5,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=kotare&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000005.webp,kotare,rpm,distance-driver,overstable,#1FBE25,#434343,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
507,Kotuku,RPM,Midrange,18,5,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Kotuku&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000048.webp,kotuku,rpm,midrange,overstable,#1FBE25,#434343,,,,,,,,,,,,,,,B_name_unique,medium,Kotuku (MR3),RPM Discs/Disc Golf Aotearoa,"Nov 16, 2020",20-84,,21.7,1.7,1.4,19.0,1.4,6.5,180.1,,11.02,48.75,,RPM Discs/Disc Golf Aotearoa,yes
508,Krait,Innova,Control Driver,16,11,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=krait&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/9818009.webp,krait,innova,hybrid-driver,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Krait,Innova Champion Discs,"May 2, 2012",12-20,,21.2,2.3,1.2,16.6,2.3,5.7,176.0,,12.13,30.25,,Innova Champion Discs,no
509,Kraken,Other,Fairway Driver,17,7,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=kraken&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000072.webp,kraken,other,control-driver,understable,#000000,#E5FFAA,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
510,Kratos,Discraft,Putter,19,3,3,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Kratos&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000412.webp,kratos,discraft,putter,overstable,#FF3737,#000000,175.1,21.1,2,1.4,18.9,1.1,6.6,59.75,11.14,,,,23-279,"Dec 26, 2023",A_name_brand,high,Kratos,Discraft,"Dec 26, 2023",23-279,,21.1,2.0,1.4,18.9,1.1,6.6,175.1,,11.14,59.75,,Discraft,no
511,Krut,Kastaplast,Distance Driver,15,12,4,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=Krut&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000339.webp,krut,kastaplast,distance-driver,very-overstable,#000000,#21F1B9,176,21.2,1.7,1.1,16.8,2.2,5.2,30.25,8.98,,,,23-76,"Mar 20, 2023",A_name_brand,high,Krut,Kastaplast,"Mar 20, 2023",23-76,,21.2,1.7,1.1,16.8,2.2,5.2,176.0,,8.98,30.25,,Kastaplast,no
512,Kui,Yikun,Midrange,18,5,5,0,2.5,Overstable,https://www.marshallstreetdiscgolf.com/?s=kui&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3647455.webp,kui,yikun,midrange,overstable,#006A6E,#FF6F8C,,,,,,,,,,,,,,,B_name_unique,medium,Kui (夔牛),Yikun Discs,"Sep 24, 2017",17-103,,21.2,2.1,1.3,17.9,1.6,6.1,176.0,,9.64,35.75,,Yikun Discs,yes
513,Lace,Vibram,Distance Driver,15,14,6,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Lace&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4217523.webp,lace,vibram,distance-driver,stable,#FFDC2D,#9A7D2C,,,,,,,,,,,,,,,B_name_unique,medium,Lace,Vibram Disc Golf,"Oct 30, 2012",12-47,,21.0,1.8,1.1,16.2,2.4,5.2,174.3,,8.05,28.50,,Vibram Disc Golf,yes
514,Land Mine,Doomsday Discs,Putter,19,2,2,0,2,Overstable,,,land-mine,doomsday-discs,putter,overstable,#B6FF8B,#144E48,182.6,22,1.8,1.5,19.6,1.2,6.8,92.75,4.66,,,,22-114,"Jun 27, 2022",A_name_brand,high,Land Mine,Doomsday Discs,"Jun 27, 2022",22-114,,22.0,1.8,1.5,19.6,1.2,6.8,182.6,,4.66,92.75,,Doomsday Discs,no
515,Lariat,Lone Star Discs,Fairway Driver,17,9,5,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Lariat&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000204.webp,lariat,lone-star-discs,control-driver,stable,#FFA5EA,#6B834B,,,,,,,,,,,,,,,B_name_unique,medium,Lariat,Lone Star Disc,"Apr 25, 2022",22-68,,21.1,1.7,1.1,17.1,2.0,5.2,175.1,,6.93,30.50,,Lone Star Disc,yes
516,Lark,Stokely Discs,Fairway Driver,17,7,5,-1.5,1.5,Stable,https://www.marshallstreetdiscgolf.com/?s=lark&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000511.webp,lark,stokely-discs,control-driver,stable,#FBE311,#37B2DF,175.1,21.1,1.6,1.1,17.5,1.8,5.2,38.5,7.61,,,,24-206,"Oct 14, 2024",A_name_brand,high,Lark,Stokely Discs,"Oct 14, 2024",24-206,,21.1,1.6,1.1,17.5,1.8,5.2,175.1,,7.61,38.50,,Stokely Discs,no
517,Laseri,Prodiscus,Control Driver,16,10,4,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=laseri&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8502320.webp,laseri,prodiscus,hybrid-driver,stable,#32E65C,#5435A9,175.1,21.1,1.6,1.1,17.2,1.9,5.2,32.25,6.24,,,,13-20,"Mar 4, 2013",A_name_brand,high,Laseri,Prodiscus,"Mar 4, 2013",13-20,,21.1,1.6,1.1,17.2,1.9,5.2,175.1,,6.24,32.25,,Prodiscus,no
518,Lasso,Mint Discs,Putter,19,3,3,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Lasso&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000389.webp,lasso,mint-discs,putter,overstable,#FFFFFF,#F4933E,176,21.2,1.9,1.2,17.8,1.7,5.7,34,10.8,,,,23-124,"Apr 27, 2023",A_name_brand,high,Lasso,Mint Discs,"Apr 27, 2023",23-124,,21.2,1.9,1.2,17.8,1.7,5.7,176.0,,10.80,34.00,,Mint Discs,no
519,Launch,Vibram,Midrange,18,5,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=launch&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2142826.webp,launch,vibram,midrange,stable,#FFDC2D,#9A7D2C,,,,,,,,,,,,,,,B_name_unique,medium,Launch,Vibram Disc Golf,"Apr 21, 2017",17-60,,21.4,2.1,1.3,18.8,1.3,6.1,177.6,,4.76,51.25,,Vibram Disc Golf,yes
520,Lawin,Other,Distance Driver,15,12,6,-3,2,Stable,https://www.marshallstreetdiscgolf.com/product/max-grip-lawin,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000150.webp,lawin,other,distance-driver,stable,#000000,#E5FFAA,,,,,,,,,,,,,,,B_name_unique,medium,Lawin,Divergent Discs,"Jan 10, 2022",22-2,,21.0,2.1,1.2,16.4,2.3,5.7,174.3,,12.16,28.50,,Divergent Discs,yes
521,Legenda,Prodiscus,Distance Driver,15,13,4,-1,4,Overstable,https://www.marshallstreetdiscgolf.com/?s=legenda&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2992592.webp,legenda,prodiscus,distance-driver,overstable,#32E65C,#5435A9,174.3,21,1.5,1.1,16.3,2.4,5.2,26.75,5.44,,,,11-38,"Oct 25, 2011",A_name_brand,high,Legenda,Prodiscus,"Oct 25, 2011",11-38,,21.0,1.5,1.1,16.3,2.4,5.2,174.3,,5.44,26.75,,Prodiscus,no
522,Leopard,Innova,Fairway Driver,17,6,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=leopard&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/6718915.webp,leopard,innova,control-driver,understable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Leopard,Innova Champion Discs,"May 12, 1999",99-07,,21.2,1.6,1.1,18.0,1.6,5.2,176.0,,7.60,29.25,,Innova Champion Discs,no
523,Leopard3,Innova,Fairway Driver,17,7,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=leopard3&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/6718917.webp,leopard3,innova,control-driver,understable,#2A290E,#F3EB09,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
524,Leviathan,Other,Midrange,18,5,4,-4,0,Understable,https://www.marshallstreetdiscgolf.com/?s=leviathan&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000071.webp,leviathan,other,midrange,understable,#000000,#E5FFAA,,,,,,,,,,,,,,,B_name_unique,medium,Leviathan,Divergent Discs,"Jan 5, 2021",21-3,,21.3,1.9,1.1,18.6,1.4,5.2,176.8,,11.59,42.00,,Divergent Discs,yes
525,Lift,Streamline,Fairway Driver,17,9,5,-2,1.5,Stable,https://www.marshallstreetdiscgolf.com/?s=lift&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010113.webp,lift,streamline,control-driver,stable,#012219,#ACFFBA,,,,,,,,,,,,,,,A_name_brand,high,Lift,Streamline Discs,"Apr 17, 2019",19-36,,21.2,1.7,1.2,17.2,2.0,5.7,176.0,,11.93,28.00,,Streamline Discs,no
526,Ling,Yikun,Putter,19,2,3,-3,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=ling&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000228.webp,ling,yikun,putter,very-understable,#006A6E,#FF6F8C,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
527,Link,Discmania,Putter,19,2,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=link&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010105.webp,link,discmania,putter,stable,#FFA813,#9A0C0C,176,21.2,1.9,1.5,19.1,1,7,71,7.84,,,,19-46,"May 23, 2019",A_name_brand,high,Link,Discmania,"May 23, 2019",19-46,,21.2,1.9,1.5,19.1,1.0,7.0,176.0,,7.84,71.00,,Discmania,no
528,Lion,Innova,Midrange,18,5,4,0,2,Stable,https://www.marshallstreetdiscgolf.com/?cat_ids%5B%5D=15&post_type=product&s=lion&variation_toggle=1,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010127.webp,lion,innova,midrange,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Lion,Innova Champion Discs,"Jan 31, 2019",19-03,,21.7,1.7,1.4,19.0,1.3,6.5,180.1,,11.57,54.75,,Innova Champion Discs,no
529,Lobster,Mint Discs,Midrange,18,5,5,-3,1,Understable,https://www.marshallstreetdiscgolf.com/?s=lobster&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000233.webp,lobster,mint-discs,midrange,understable,#FFFFFF,#F4933E,178.5,21.5,1.8,1.3,18.6,1.4,6,47.5,7.16,,,,22-63,"Apr 25, 2022",A_name_brand,high,Lobster,Mint Discs,"Apr 25, 2022",22-63,,21.5,1.8,1.3,18.6,1.4,6.0,178.5,,7.16,47.50,,Mint Discs,no
530,Locust,Above Ground Level,Fairway Driver,17,9,4,-1,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Locust&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000120.webp,locust,above-ground-level,control-driver,overstable,#CFFF30,#000000,176,21.2,1.6,1.1,17.2,2,5.2,29.75,10.8,,,,20-55,"Jun 23, 2020",A_name_brand,high,Locust,Above Ground Level,"Jun 23, 2020",20-55,,21.2,1.6,1.1,17.2,2.0,5.2,176.0,,10.80,29.75,,Above Ground Level,no
531,Logic,Discmania,Putter,19,3,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=logic&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000099.webp,logic,discmania,putter,stable,#FFA813,#9A0C0C,176,21.2,1.9,1.3,19,1.1,6.1,55,11.59,,,,21-32,"Mar 22, 2021",A_name_brand,high,Logic,Discmania,"Mar 22, 2021",21-32,,21.2,1.9,1.3,19.0,1.1,6.1,176.0,,11.59,55.00,,Discmania,no
532,Lone Wolf,Lone Star Discs,Midrange,18,5,5,-3,1,Understable,https://www.marshallstreetdiscgolf.com/?s=Lone+Wolf&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000294.webp,lone-wolf,lone-star-discs,midrange,understable,#FFA5EA,#6B834B,,,,,,,,,,,,,,,B_name_unique,medium,Lone Wolf,Lone Star Disc,"Sep 5, 2022",22-152,,21.6,1.5,1.1,18.9,1.4,5.1,179.3,,4.09,41.75,,Lone Star Disc,yes
533,Long,Yikun,Control Driver,16,10,5,-1,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Long&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000225.webp,long,yikun,hybrid-driver,overstable,#006A6E,#FF6F8C,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
534,Longbowman,Westside Discs,Fairway Driver,17,9,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=longbowman&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8258814.webp,longbowman,westside-discs,control-driver,overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,,B_name_unique,medium,Longbowman (Jousimies1),Westside Golf Discs,"Feb 25, 2016",16-19,,21.3,1.6,1.1,17.7,1.8,5.2,176.8,,10.77,36.00,,Westside Golf Discs,yes
535,Longhorn,Mint Discs,Control Driver,16,11,4,-1,2.5,Overstable,https://www.marshallstreetdiscgolf.com/?s=Longhorn&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000039.webp,longhorn,mint-discs,hybrid-driver,overstable,#FFFFFF,#F4933E,176.8,21.3,1.5,1.2,17,2.1,5.6,31,9.89,,,,20-68,"Aug 12, 2020",A_name_brand,high,Longhorn,Mint Discs,"Aug 12, 2020",20-68,,21.3,1.5,1.2,17.0,2.1,5.6,176.8,,9.89,31.00,,Mint Discs,no
536,Lots,Kastaplast,Fairway Driver,17,9,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/product/k1-lots,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000003.webp,lots,kastaplast,control-driver,stable,#000000,#21F1B9,175.1,21.1,1.5,1.1,17.3,1.9,5.2,29.5,10.23,,,,20-01,"Jan 16, 2020",A_name_brand,high,Lots,Kastaplast,"Jan 16, 2020",20-01,,21.1,1.5,1.1,17.3,1.9,5.2,175.1,,10.23,29.50,,Kastaplast,no
537,Lotus,Clash Discs,Fairway Driver,17,8,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Lotus&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000353.webp,lotus,clash-discs,control-driver,stable,#FF93E9,#2516FF,177.6,21.4,1.6,1.3,17.6,1.9,6.1,32.5,9.09,,,,23-88,"Mar 23, 2023",A_name_brand,high,Lotus (Tone variant),Clash Discs,"May 6, 2024",24-93,,21.4,1.9,1.2,17.6,1.9,5.6,177.6,,10.11,32.50,,Clash Discs,no
538,Love,Jester Disc Golf,Putter,19,2,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?cat_ids%5B%5D=104136&post_type=product&s=love&variation_toggle=1,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000429.webp,love,jester-disc-golf,putter,stable,#FFF172,#0E887C,176,21.2,2,1.5,19,1.1,7.1,59,7.16,,,,23-7,"Jan 9, 2023",A_name_brand,high,Love,Jester Disc Golf,"Jan 9, 2023",23-7,,21.2,2.0,1.5,19.0,1.1,7.1,176.0,,7.16,59.00,,Jester Disc Golf,no
539,Lu,Yikun,Distance Driver,15,14,5,-1,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=lu&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8458813.webp,lu,yikun,distance-driver,overstable,#006A6E,#FF6F8C,,,,,,,,,,,,,,,B_name_unique,medium,"Lu (Luan, 鸾鸟)",Yikun Discs,"Sep 24, 2017",17-104,,21.2,1.4,1.1,16.4,2.4,5.2,176.0,,7.94,31.25,,Yikun Discs,yes
540,Lucky,Crosslap,Midrange,18,5,5,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=Lucky&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8258813.webp,lucky,crosslap,midrange,understable,#FF190C,#88BE47,,,,,,,,,,,,,,,B_name_unique,medium,Lucky,Crosslap Disc Golf Parks,"Apr 22, 2012",12-18,,21.7,1.7,1.3,19.1,1.3,6.0,180.1,,5.33,43.50,,Crosslap Disc Golf Parks,yes
541,Luna,Discraft,Putter,19,3,3,0,3,Stable,https://www.marshallstreetdiscgolf.com/?s=luna&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010339.webp,luna,discraft,putter,stable,#FF3737,#000000,175.1,21.1,2,1.4,18.9,1.1,6.6,68.5,12.13,,,,18-96,"Dec 28, 2018",A_name_brand,high,Luna,Discraft,"Dec 28, 2018",18-96,,21.1,2.0,1.4,18.9,1.1,6.6,175.1,,12.13,68.50,,Discraft,no
542,Lynx,Innova,Fairway Driver,17,7,6,-2,1,Understable,,,lynx,innova,control-driver,understable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Lynx,Innova Champion Discs,"Jun 21, 1990",90-02,,24.1,2.5,1.6,21.5,1.3,6.6,200.0,,12.25,45.75,,Innova Champion Discs,no
543,M Model S,Prodigy,Midrange,18,6,4,0,3,Stable,https://www.marshallstreetdiscgolf.com/?s=M+Model+S&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000022.webp,m-model-s,prodigy,midrange,stable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,M Model S,Prodigy Disc,"Mar 5, 2020",20-28,,21.7,2.0,1.5,19.1,1.3,6.9,180.1,,10.91,47.25,,Prodigy Disc,no
