id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval,pdga_match_tier,pdga_match_confidence,pdga_disc_model,pdga_manufacturer,pdga_approved_date,pdga_certification_number,pdga_class,pdga_diameter_cm,pdga_height_cm,pdga_rim_depth_cm,pdga_inside_rim_diameter_cm,pdga_rim_thickness_cm,pdga_rim_depth_diameter_ratio_pct,pdga_max_weight_gr,pdga_max_weight_vint_gr,pdga_flexibility_kg,pdga_rim_configuration,pdga_last_year_production,pdga_brand_suggested,pdga_brand_differs_from_merged
358,Frio,Lone Star Discs,Fairway Driver,17,7,5,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Frio&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000320.webp,frio,lone-star-discs,control-driver,stable,#FFA5EA,#6B834B,,,,,,,,,,,,,,,B_name_unique,medium,Frio,Lone Star Disc,"Dec 26, 2022",22-230,,21.1,1.6,1.1,17.6,1.8,5.2,175.1,,7.50,32.50,,Lone Star Disc,yes
359,Fu,Yikun,Fairway Driver,17,7,5,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Fu&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000096.webp,fu,yikun,control-driver,stable,#006A6E,#FF6F8C,,,,,,,,,,,,,,,B_name_unique,medium,"Fu (夸父, Kua Fu)",Yikun Discs,"Sep 8, 2020",20-70,,21.3,1.8,1.2,17.5,1.9,5.6,176.8,,9.77,28.50,,Yikun Discs,yes
360,Fudge,Clash Discs,Putter,19,2,3,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=fudge&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000332.webp,fudge,clash-discs,putter,overstable,#FF93E9,#2516FF,176.8,21.3,2,1.5,19.2,1.1,7,63,6.48,,,,23-87,"Mar 23, 2023",A_name_brand,high,Fudge,Clash Discs,"Mar 23, 2023",23-87,,21.3,2.0,1.5,19.2,1.1,7.0,176.8,,6.48,63.00,,Clash Discs,no
361,Fugitive,Dynamic Discs,Midrange,18,5,5,-0.5,1.5,Stable,https://www.marshallstreetdiscgolf.com/?s=Fugitive&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1130004.webp,fugitive,dynamic-discs,midrange,stable,#FFFFFF,#0082F4,180.9,21.8,2.1,1.3,19.1,1.4,6,39,7.82,,,,12-57,"Dec 7, 2012",A_name_brand,high,Fugitive,Dynamic Discs,"Dec 7, 2012",12-57,,21.8,2.1,1.3,19.1,1.4,6.0,180.9,,7.82,39.00,,Dynamic Discs,no
362,Fugitive (Supreme),Dynamic Discs,Midrange,18,5,3,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=fugitive&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000457.webp,fugitive-supreme,dynamic-discs,midrange,very-overstable,#FFFFFF,#0082F4,,,,,,,,,,,,,,,A_name_brand,high,Fugitive,Dynamic Discs,"Dec 7, 2012",12-57,,21.8,2.1,1.3,19.1,1.4,6.0,180.9,,7.82,39.00,,Dynamic Discs,no
363,Function,Discmania,Fairway Driver,17,8,6,-4,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=Function&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000436.webp,function,discmania,control-driver,very-understable,#FFA813,#9A0C0C,176,21.2,1.8,1.1,17.4,1.9,5.2,31.75,8.98,,,,24-107,"May 20, 2024",A_name_brand,high,Function,Discmania,"May 20, 2024",24-107,,21.2,1.8,1.1,17.4,1.9,5.2,176.0,,8.98,31.75,,Discmania,no
364,Fury,Latitude 64,Fairway Driver,17,9,6,-2,2,Very Understable,https://www.marshallstreetdiscgolf.com/?s=fury&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/5020310.webp,fury,latitude-64,control-driver,very-understable,#FFFFFF,#F40909,176,21.2,1.8,1.1,17.4,1.9,5.2,36.75,9.98,,,,13-30,"Apr 19, 2013",A_name_brand,high,Fury,Latitude 64,"Apr 19, 2013",13-30,,21.2,1.8,1.1,17.4,1.9,5.2,176.0,,9.98,36.75,,Latitude 64,no
365,Fuse,Latitude 64,Midrange,18,5,6,-1,0,Understable,https://www.marshallstreetdiscgolf.com/?s=fuse&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8822502.webp,fuse,latitude-64,midrange,understable,#FFFFFF,#F40909,181.8,21.9,2.1,1.3,19.3,1.3,5.9,42.5,8.28,,,,10-04,"Apr 4, 2010",A_name_brand,high,Fuse,Latitude 64,"Apr 4, 2010",10-04,,21.9,2.1,1.3,19.3,1.3,5.9,181.8,,8.28,42.50,,Latitude 64,no
366,G-One,Gateway,Distance Driver,15,12,6,-2,1,Understable,https://www.marshallstreetdiscgolf.com/?s=G-One&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000346.webp,g-one,gateway,distance-driver,understable,#FFFFFF,#A66A17,,,,,,,,,,,,,,,A_name_brand,high,G-ONE,Gateway Disc Sports,"Feb 20, 2023",23-49,,21.1,1.7,1.2,16.4,2.3,5.7,175.1,,11.02,28.00,,Gateway Disc Sports,no
367,Galleon,Infinite Discs,Fairway Driver,17,6,3,0,5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=galleon&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000437.webp,galleon,infinite-discs,control-driver,very-overstable,#FFFFFF,#62054C,176,21.2,2,1.2,17.8,1.7,5.7,39.5,11.02,,,,23-138,"May 15, 2023",A_name_brand,high,Galleon,Infinite Discs,"May 15, 2023",23-138,,21.2,2.0,1.2,17.8,1.7,5.7,176.0,,11.02,39.50,,Infinite Discs,no
